Trial_ID,Batch_Day,MQ3_R0,MQ9_R0,MQ135_R0,MQ3_V,MQ9_V,MQ135_V,TVOC_ppb,eCO2_ppm,Temp_C,Humidity_pct,Label
53,1,0.4188,0.1606,0.3478,2.0951,0.488,1.0829,1976.72,441.68,24.6,42.64,Ethanol
54,1,0.3968,0.1538,0.3277,1.1842,0.4701,1.3473,671.37,477.84,24.48,45.5,Acetic Acid
55,1,0.4147,0.1529,0.3256,1.2251,0.4331,0.9552,246.13,406.23,24.92,58.55,Distilled Water
56,1,0.4237,0.1415,0.3607,1.1742,0.4785,1.359,673.79,476.23,25.17,42.92,Acetic Acid
57,1,0.4034,0.1307,0.3259,2.041,0.4923,1.0661,2037.31,446.56,25.13,45.58,Ethanol
58,1,0.414,0.1423,0.3177,2.1544,0.48,1.0117,2189.34,418.88,25.18,45.62,Ethyl Acetate
59,1,0.4187,0.1522,0.3426,2.0668,0.4925,1.0466,1935.37,446.92,23.98,39.44,Ethanol
60,1,0.4145,0.1527,0.3826,1.4172,0.4271,0.971,950.02,402.17,25.56,44.73,Propylene Glycol
61,1,0.3783,0.1573,0.3581,1.9896,0.4877,1.0791,1996.21,442.16,24.49,42.84,Ethanol
62,1,0.4012,0.1235,0.3604,1.6899,0.4489,0.9464,1558.29,453.05,24.7,46.77,Acetone
63,1,0.3668,0.1528,0.3594,2.1777,0.4997,1.0104,2231.32,414.22,24.86,45.28,Ethyl Acetate
64,1,0.4176,0.162,0.3317,1.432,0.4463,1.001,934.27,427.74,25.43,45.92,Propylene Glycol
65,1,0.3983,0.168,0.3651,1.2039,0.4522,0.9318,251.16,411.48,25.42,57.18,Distilled Water
66,1,0.3587,0.1538,0.3879,1.6494,0.4596,1.0156,1541.76,450.57,24.83,44.6,Acetone
67,1,0.4178,0.1476,0.3736,1.1932,0.439,0.9262,259.96,410.98,25.03,59.15,Distilled Water
68,1,0.3811,0.1613,0.3087,1.6667,0.4404,1.0019,1461.59,434.37,25.04,41.67,Acetone
69,1,0.3667,0.1405,0.3486,2.1636,0.4999,0.9793,2183.58,426.82,24.12,40.26,Ethyl Acetate
70,1,0.4007,0.1666,0.3412,1.3388,0.6326,1.1722,456.99,408.46,24.72,46.17,Hydrogen Peroxide
71,1,0.3605,0.1522,0.3436,2.0164,0.497,1.0668,1933.61,444.72,24.67,48.26,Ethanol
72,1,0.4169,0.1533,0.3722,2.0835,0.4973,0.9628,2214.65,428.64,25.06,44.01,Ethyl Acetate
73,1,0.3757,0.1589,0.3602,1.1801,0.4751,1.4184,659.8,480.78,25.58,47.47,Acetic Acid
74,1,0.38,0.144,0.3431,1.1581,0.4479,0.8739,330.48,403.18,25.35,55.97,Glycerol
75,1,0.4164,0.1438,0.3414,1.4199,0.4563,0.9737,972.13,405.67,25.14,47.63,Propylene Glycol
76,1,0.3856,0.1399,0.3643,1.3805,0.4506,0.9568,906.0,428.32,25.14,46.72,Propylene Glycol
77,1,0.4135,0.1601,0.3631,2.1077,0.4886,1.0236,2163.74,432.89,25.66,43.83,Ethyl Acetate
78,1,0.4321,0.1527,0.3502,1.2077,0.4339,0.8962,328.94,412.53,24.72,43.73,Glycerol
79,1,0.4026,0.1538,0.3231,1.2169,0.4581,0.8915,254.35,419.52,24.09,55.97,Distilled Water
80,1,0.371,0.1316,0.3413,1.109,0.4404,1.7776,619.0,466.68,24.72,43.09,Ammonia
81,1,0.3947,0.1489,0.3795,1.9829,0.4794,1.0614,1934.5,439.93,25.01,44.93,Ethanol
82,1,0.4163,0.1486,0.3423,1.6534,0.4419,0.9081,1548.22,427.36,25.6,40.83,Acetone
83,1,0.4111,0.1638,0.3414,1.1961,0.4468,0.891,250.53,393.5,25.26,57.39,Distilled Water
84,1,0.4117,0.1608,0.3495,1.1166,0.4462,1.7582,618.18,453.42,24.43,41.14,Ammonia
85,1,0.3815,0.1513,0.345,1.3528,0.6158,1.1466,460.09,407.95,25.54,47.35,Hydrogen Peroxide
86,1,0.4014,0.1484,0.3406,2.1269,0.4946,0.9901,2193.96,419.75,25.95,44.36,Ethyl Acetate
87,1,0.3612,0.156,0.3285,1.1842,0.4375,0.8924,331.55,403.93,24.76,49.83,Glycerol
88,1,0.3915,0.1535,0.3964,1.2237,0.4522,0.8964,337.93,411.1,24.9,48.52,Glycerol
89,1,0.4027,0.1501,0.3529,1.2158,0.4502,0.8886,248.86,415.67,23.97,57.95,Distilled Water
90,1,0.3866,0.1479,0.3597,1.2356,0.4334,0.8888,328.21,409.42,24.42,50.08,Glycerol
91,1,0.4302,0.1438,0.3589,1.2425,0.4472,0.8909,256.48,422.04,25.37,58.16,Distilled Water
92,1,0.4287,0.1575,0.3379,1.4293,0.4352,0.9888,937.29,408.73,25.38,44.84,Propylene Glycol
93,1,0.38,0.153,0.3266,1.0665,0.4363,1.778,624.01,451.81,24.45,44.01,Ammonia
94,1,0.4097,0.1319,0.3488,1.2253,0.4943,1.413,667.86,484.93,24.53,44.58,Acetic Acid
95,1,0.3693,0.1532,0.3625,2.0634,0.4993,1.0528,1955.31,446.55,25.69,41.81,Ethanol
96,1,0.3922,0.1609,0.3507,1.1951,0.4615,0.9285,248.38,410.04,23.92,58.25,Distilled Water
97,1,0.3817,0.1281,0.3528,1.6854,0.4543,0.9598,1597.73,454.49,23.82,45.19,Acetone
98,1,0.374,0.1294,0.3322,1.1179,0.4315,1.8545,589.5,442.07,25.05,43.85,Ammonia
99,1,0.4303,0.1415,0.3626,1.3428,0.6015,1.1213,452.78,424.07,25.0,47.41,Hydrogen Peroxide
100,1,0.3873,0.1604,0.3476,1.1693,0.4947,1.4332,663.74,475.42,25.27,43.6,Acetic Acid
101,1,0.3713,0.1422,0.3204,1.1904,0.4416,0.9287,248.48,413.97,25.39,57.65,Distilled Water
102,1,0.4363,0.1526,0.35,1.6395,0.4286,1.0027,1532.08,445.6,25.42,49.41,Acetone
103,1,0.3929,0.1459,0.3367,1.4151,0.4511,0.9937,940.13,414.56,25.0,47.15,Propylene Glycol
104,1,0.3883,0.1457,0.3632,1.2055,0.4884,1.4129,666.72,470.38,25.38,46.02,Acetic Acid
105,1,0.4097,0.1513,0.3475,1.0952,0.4522,1.739,606.13,456.65,24.9,45.01,Ammonia
106,1,0.3909,0.1517,0.3536,1.2178,0.4355,0.8775,335.94,425.82,26.74,53.48,Glycerol
107,1,0.4136,0.1431,0.3602,1.4453,0.4519,0.9618,928.47,419.94,24.29,46.71,Propylene Glycol
108,1,0.3893,0.164,0.3782,1.4705,0.4311,0.9958,918.25,429.96,24.9,45.43,Propylene Glycol
109,1,0.4167,0.1469,0.3485,2.1109,0.5109,0.9649,2293.85,424.57,25.11,38.56,Ethyl Acetate
110,1,0.3948,0.1299,0.3209,2.0845,0.4955,0.9984,2221.18,407.54,23.01,47.39,Ethyl Acetate
111,1,0.3839,0.1182,0.3557,1.2,0.4605,0.9194,335.01,412.06,25.21,47.82,Glycerol
112,1,0.3926,0.1577,0.3592,1.1632,0.4461,0.9022,344.36,415.86,25.39,48.49,Glycerol
113,1,0.4026,0.1529,0.3331,1.2228,0.4679,1.352,661.57,479.6,24.31,48.77,Acetic Acid
114,1,0.4272,0.1412,0.3782,1.248,0.4437,0.9149,253.49,414.59,24.53,57.88,Distilled Water
115,1,0.3834,0.1579,0.3372,1.6331,0.4576,1.0119,1574.02,446.3,25.06,47.96,Acetone
116,1,0.3583,0.1596,0.3519,1.0765,0.4562,1.7866,632.25,452.31,24.49,44.87,Ammonia
117,1,0.3644,0.1585,0.3654,2.0431,0.4979,1.0815,1964.7,445.34,24.14,46.18,Ethanol
118,1,0.4138,0.168,0.3311,2.0258,0.4942,0.9679,2095.98,409.78,24.89,43.38,Ethyl Acetate
119,1,0.4028,0.1462,0.3569,1.1841,0.4764,1.3635,681.33,484.28,25.29,48.26,Acetic Acid
120,1,0.4536,0.1523,0.3574,1.1612,0.49,1.3784,677.75,479.7,25.04,45.51,Acetic Acid
121,1,0.4164,0.1434,0.3331,2.1008,0.477,1.009,2235.09,425.5,25.51,43.45,Ethyl Acetate
122,1,0.3724,0.1473,0.3655,1.9974,0.4869,1.0787,1968.45,434.18,25.64,47.46,Ethanol
123,2,0.437,0.1537,0.3558,1.6698,0.4342,1.0024,1476.23,444.58,24.42,43.7,Acetone
124,2,0.3856,0.1419,0.3468,1.195,0.4429,0.9091,258.06,409.67,25.76,59.12,Distilled Water
125,2,0.3841,0.1408,0.382,1.0632,0.433,1.7681,607.94,461.19,25.75,44.82,Ammonia
126,2,0.3784,0.1425,0.3437,1.1758,0.4507,0.9242,257.72,420.07,24.71,57.45,Distilled Water
127,2,0.4014,0.1578,0.337,1.1674,0.4557,0.8877,332.86,401.37,25.79,51.76,Glycerol
128,2,0.4097,0.1531,0.3569,1.6011,0.4726,0.975,1456.0,449.49,25.61,44.91,Acetone
129,2,0.4258,0.1385,0.3754,2.0514,0.4939,1.085,1998.87,430.2,24.47,48.16,Ethanol
130,2,0.3871,0.1444,0.3618,1.1077,0.4429,1.7438,617.42,450.1,25.58,45.53,Ammonia
131,2,0.3908,0.1481,0.3731,1.2283,0.4396,0.9093,340.88,398.01,24.16,45.8,Glycerol
132,2,0.4079,0.1525,0.3342,1.401,0.441,0.98,933.86,402.73,24.33,47.05,Propylene Glycol
133,2,0.4088,0.1364,0.3658,1.1763,0.4522,0.8528,337.86,405.96,24.61,51.04,Glycerol
134,2,0.4039,0.1301,0.3282,2.0337,0.5078,1.0698,1972.13,434.25,24.42,45.33,Ethanol
135,2,0.4152,0.1631,0.3471,1.1625,0.4566,0.8783,335.9,416.85,23.06,48.92,Glycerol
136,2,0.3659,0.1551,0.3456,1.1086,0.4418,1.6998,611.78,448.84,25.16,45.52,Ammonia
137,2,0.4148,0.1475,0.3679,1.1987,0.4325,0.886,330.4,413.08,24.42,46.4,Glycerol
138,2,0.4109,0.1635,0.3619,1.1134,0.4445,1.7986,622.26,470.33,25.37,45.63,Ammonia
139,2,0.416,0.1489,0.3562,2.0009,0.5001,0.997,2244.31,427.9,24.46,43.43,Ethyl Acetate
140,2,0.3851,0.1516,0.3504,1.0836,0.4616,1.7555,605.52,458.75,25.42,44.13,Ammonia
141,2,0.3944,0.1622,0.3424,1.1995,0.4363,0.9112,256.96,421.45,25.2,58.24,Distilled Water
142,2,0.4114,0.1625,0.3131,1.1184,0.4273,1.8297,608.73,470.53,25.36,45.11,Ammonia
143,2,0.4335,0.1669,0.3415,1.1104,0.4512,1.8188,575.05,455.21,24.88,44.08,Ammonia
144,2,0.4076,0.1646,0.3459,1.4188,0.4373,0.985,920.33,425.01,24.92,46.75,Propylene Glycol
145,2,0.3751,0.1523,0.3286,2.071,0.4937,1.0121,2191.94,426.84,26.18,44.45,Ethyl Acetate
146,2,0.3993,0.1515,0.3258,1.2319,0.4626,1.3151,684.51,468.91,26.2,43.94,Acetic Acid
147,2,0.4171,0.1593,0.3319,1.4015,0.4385,0.9947,907.93,417.18,24.72,45.86,Propylene Glycol
148,2,0.3963,0.1577,0.3504,1.2282,0.4337,0.9027,260.37,422.69,25.8,57.56,Distilled Water
149,2,0.4209,0.1677,0.3534,1.2349,0.452,0.8936,246.92,428.22,26.14,55.72,Distilled Water
150,2,0.4112,0.1568,0.3568,1.3579,0.4441,0.973,952.31,417.8,23.74,45.67,Propylene Glycol
151,2,0.4157,0.1546,0.3869,1.2187,0.447,0.9002,250.05,405.86,24.41,57.28,Distilled Water
152,2,0.3825,0.1476,0.3614,1.1279,0.4438,1.868,612.63,460.57,25.07,45.31,Ammonia
153,2,0.4098,0.1306,0.3674,1.1728,0.454,0.8901,341.04,430.2,26.35,49.2,Glycerol
154,2,0.3798,0.1654,0.3311,2.1475,0.4895,0.954,2236.01,417.71,26.24,42.8,Ethyl Acetate
155,2,0.3967,0.1374,0.3732,1.4401,0.4766,0.967,938.95,400.98,25.15,42.56,Propylene Glycol
156,2,0.3893,0.1545,0.32,1.221,0.4659,1.3447,682.33,488.31,25.29,44.8,Acetic Acid
157,2,0.4019,0.157,0.339,1.2106,0.4464,0.9259,248.16,416.03,25.28,59.94,Distilled Water
158,2,0.3817,0.1384,0.3607,1.3242,0.6049,1.132,461.52,410.47,23.74,43.94,Hydrogen Peroxide
159,2,0.3744,0.1393,0.3294,1.2341,0.438,0.8999,246.19,418.31,26.45,58.09,Distilled Water
160,2,0.4028,0.1392,0.363,1.178,0.4893,1.4053,657.34,471.25,24.98,42.88,Acetic Acid
161,2,0.407,0.1466,0.3568,2.0222,0.4758,1.0095,2153.36,426.09,24.92,44.22,Ethyl Acetate
162,2,0.4074,0.1632,0.3626,2.0456,0.5132,1.0589,1997.06,440.31,24.76,45.78,Ethanol
163,2,0.3927,0.1546,0.3515,1.2285,0.4498,0.9221,257.15,416.55,24.87,57.81,Distilled Water
164,2,0.3994,0.1476,0.3053,1.979,0.501,1.0876,1971.26,449.81,25.45,40.44,Ethanol
165,2,0.4248,0.1629,0.3689,2.0343,0.4933,1.0717,1890.21,432.98,25.33,43.24,Ethanol
166,2,0.3901,0.153,0.3565,1.1853,0.4357,0.906,334.1,400.82,24.52,50.12,Glycerol
167,2,0.4088,0.1514,0.3728,1.6163,0.4544,1.0504,1548.45,431.8,25.75,44.87,Acetone
168,2,0.4043,0.1433,0.3411,1.2143,0.4598,0.8962,251.04,420.61,24.34,56.9,Distilled Water
169,2,0.3957,0.1581,0.3518,1.0789,0.4571,1.8211,616.55,458.53,25.08,45.44,Ammonia
170,2,0.3953,0.1526,0.3972,1.4298,0.4568,1.0176,959.87,417.73,24.99,46.17,Propylene Glycol
171,2,0.4261,0.1585,0.3651,1.2975,0.6182,1.1112,449.22,413.34,26.1,44.32,Hydrogen Peroxide
172,2,0.3762,0.1546,0.3438,1.3571,0.452,0.9986,917.19,407.66,26.06,47.12,Propylene Glycol
173,2,0.3832,0.1335,0.3332,1.2124,0.4449,0.9074,251.35,406.81,25.07,57.22,Distilled Water
174,2,0.3744,0.1543,0.3636,1.9978,0.4856,1.0364,1960.61,444.79,24.28,45.21,Ethanol
175,2,0.4363,0.1429,0.3774,1.215,0.4781,1.3632,681.84,469.04,25.03,48.58,Acetic Acid
176,2,0.3982,0.1461,0.3324,1.1854,0.4392,0.9066,319.68,402.11,23.32,49.77,Glycerol
177,2,0.4321,0.128,0.3752,1.433,0.4439,0.9881,921.14,425.69,25.09,46.73,Propylene Glycol
178,2,0.4225,0.1485,0.3078,1.2197,0.4598,0.908,333.11,406.68,23.6,48.03,Glycerol
179,2,0.3901,0.1519,0.3228,2.0997,0.4853,0.9979,2118.19,415.83,24.21,43.23,Ethyl Acetate
180,2,0.4227,0.1722,0.3429,1.7095,0.4668,0.9883,1526.06,448.4,24.59,47.3,Acetone
181,2,0.4315,0.1522,0.3552,1.2301,0.4859,1.3254,665.74,470.42,25.93,46.07,Acetic Acid
182,2,0.4317,0.1438,0.3399,1.2142,0.4738,1.3809,668.56,486.11,25.41,45.78,Acetic Acid
183,2,0.3567,0.1548,0.3329,1.339,0.6258,1.1391,460.7,415.36,23.65,43.92,Hydrogen Peroxide
184,2,0.3898,0.1296,0.357,1.4415,0.4522,0.9955,948.3,429.51,24.8,44.24,Propylene Glycol
185,2,0.3776,0.1582,0.3465,1.1903,0.4902,1.3631,666.48,477.36,25.49,47.24,Acetic Acid
186,2,0.4053,0.1799,0.3692,1.1843,0.4501,0.8875,342.49,419.55,25.61,52.69,Glycerol
187,2,0.3969,0.1505,0.3519,1.225,0.4262,0.918,333.65,406.26,24.9,50.27,Glycerol
188,2,0.4139,0.1534,0.3355,1.2114,0.4458,0.8748,247.69,426.95,24.77,58.22,Distilled Water
189,2,0.4095,0.1586,0.3195,1.4151,0.4473,0.9948,930.59,409.72,24.6,45.33,Propylene Glycol
190,2,0.3987,0.1651,0.3315,1.0924,0.4638,1.7653,596.69,454.53,25.17,42.85,Ammonia
191,2,0.3954,0.1614,0.3672,1.1875,0.4284,0.8734,340.7,421.74,24.39,48.72,Glycerol
192,2,0.3905,0.1514,0.3713,2.0941,0.4975,1.0702,1940.17,446.76,24.93,48.64,Ethanol
193,2,0.3726,0.1437,0.3475,1.2073,0.4972,1.3628,676.19,464.64,24.79,46.56,Acetic Acid
194,2,0.3817,0.1415,0.3774,1.2652,0.6416,1.1438,448.82,411.53,26.39,44.44,Hydrogen Peroxide
195,2,0.3795,0.139,0.364,1.1268,0.4515,1.7069,653.09,452.99,23.7,44.97,Ammonia
196,2,0.3908,0.1526,0.3663,1.3271,0.6262,1.1406,463.75,413.48,25.24,46.99,Hydrogen Peroxide
197,2,0.3748,0.1398,0.3689,1.43,0.4466,1.0072,924.13,416.1,24.74,47.78,Propylene Glycol
198,2,0.4069,0.132,0.3257,1.1864,0.4633,0.8814,251.57,419.53,25.51,56.4,Distilled Water
199,2,0.3918,0.1451,0.3418,1.2145,0.4282,0.9141,252.36,402.93,25.76,56.11,Distilled Water
200,2,0.3853,0.1627,0.348,1.6477,0.4388,0.958,1513.7,454.89,24.51,48.42,Acetone
201,2,0.4067,0.1515,0.3538,1.2202,0.4653,0.9237,252.11,412.21,25.12,59.67,Distilled Water
202,2,0.4205,0.1544,0.3354,1.3156,0.6263,1.1695,469.35,411.44,25.31,47.14,Hydrogen Peroxide
203,2,0.3866,0.1469,0.3554,2.0484,0.5017,1.0436,2197.51,430.36,25.2,42.32,Ethyl Acetate
204,2,0.3943,0.1434,0.3586,1.332,0.6442,1.1121,467.12,424.89,24.86,46.07,Hydrogen Peroxide
205,2,0.4309,0.1641,0.3444,2.1396,0.4836,0.9945,2159.5,432.75,24.64,46.45,Ethyl Acetate
206,2,0.3962,0.1558,0.3266,1.4071,0.4646,0.9808,921.79,430.37,25.24,46.57,Propylene Glycol
207,2,0.3486,0.1359,0.3358,1.32,0.6123,1.1285,453.07,415.64,24.43,45.92,Hydrogen Peroxide
208,2,0.3833,0.1446,0.3721,2.0668,0.4961,1.088,1939.25,441.48,24.43,44.5,Ethanol
209,2,0.4169,0.1443,0.3688,1.2144,0.4339,0.8672,249.22,419.03,26.1,55.66,Distilled Water
210,2,0.3925,0.1465,0.35,1.2248,0.4618,0.8981,248.51,414.77,24.52,56.94,Distilled Water
211,2,0.3896,0.1543,0.3638,1.1914,0.4649,1.3503,667.06,494.98,24.85,47.0,Acetic Acid
212,2,0.4149,0.1547,0.3187,1.2274,0.4547,0.92,331.91,427.81,23.8,43.47,Glycerol
213,2,0.3983,0.142,0.3337,1.2211,0.4544,0.9488,263.01,415.46,24.77,57.12,Distilled Water
214,2,0.3908,0.1421,0.3533,1.272,0.6388,1.1403,459.09,420.42,24.45,42.47,Hydrogen Peroxide
215,2,0.4404,0.1678,0.369,2.1451,0.4805,1.0475,1991.53,445.23,24.82,44.54,Ethanol
216,2,0.392,0.1291,0.3534,1.409,0.4522,0.9752,930.45,422.47,25.01,46.95,Propylene Glycol
217,2,0.3899,0.1666,0.3506,2.0641,0.5145,0.9823,2256.43,401.12,24.87,44.13,Ethyl Acetate
218,2,0.4122,0.146,0.3472,2.0663,0.4819,0.9788,2201.1,407.18,24.93,40.13,Ethyl Acetate
219,2,0.3908,0.1485,0.3353,1.0775,0.4499,1.7368,615.15,458.89,25.15,44.65,Ammonia
220,2,0.3986,0.1633,0.3933,1.2358,0.4476,0.9081,254.37,414.72,25.13,54.94,Distilled Water
221,2,0.3915,0.1442,0.3304,1.9793,0.4956,1.0958,1995.39,430.73,24.59,47.74,Ethanol
222,2,0.4081,0.16,0.3826,1.4106,0.4646,0.996,922.75,402.55,25.1,49.64,Propylene Glycol
223,2,0.4152,0.1345,0.3313,1.1945,0.4584,0.8957,337.33,430.54,24.68,45.74,Glycerol
224,2,0.4329,0.1583,0.4073,1.1978,0.4512,0.9258,253.84,416.06,25.13,59.88,Distilled Water
225,2,0.395,0.1317,0.3349,2.0076,0.484,1.0861,1958.88,438.82,24.64,43.53,Ethanol
226,2,0.4113,0.1486,0.3439,1.0684,0.4539,1.8036,618.62,459.95,25.09,43.6,Ammonia
227,2,0.3928,0.1506,0.3382,2.0533,0.5046,1.086,2002.1,439.61,25.16,45.71,Ethanol
228,2,0.3759,0.1382,0.3243,1.6908,0.4491,1.025,1457.53,451.22,23.88,45.18,Acetone
229,2,0.382,0.1297,0.3377,1.6687,0.4509,1.0341,1564.95,449.67,24.38,46.01,Acetone
230,2,0.4351,0.1388,0.333,1.6401,0.4476,0.9547,1408.13,460.82,24.99,45.64,Acetone
231,2,0.3948,0.1372,0.3212,1.1866,0.4748,1.3556,677.0,477.33,25.62,43.86,Acetic Acid
232,2,0.386,0.1448,0.3954,1.2709,0.6503,1.1036,450.64,417.29,25.26,47.49,Hydrogen Peroxide
233,2,0.4255,0.1282,0.3216,1.195,0.4856,1.391,674.92,477.08,25.83,44.84,Acetic Acid
234,2,0.3755,0.1421,0.3596,1.2914,0.6522,1.1298,478.89,419.19,26.07,44.55,Hydrogen Peroxide
235,2,0.4347,0.165,0.3442,1.3664,0.6251,1.1384,451.49,413.44,26.27,46.99,Hydrogen Peroxide
236,2,0.4002,0.1441,0.3532,1.0368,0.4632,1.765,611.57,447.92,24.7,43.66,Ammonia
237,2,0.427,0.1641,0.3629,1.3652,0.4666,0.9744,936.7,416.17,24.42,44.37,Propylene Glycol
238,2,0.3803,0.155,0.3514,1.2115,0.4421,0.8767,323.87,413.56,25.0,52.77,Glycerol
239,2,0.3968,0.1387,0.3428,2.1144,0.4768,1.0092,2126.56,411.16,25.85,43.39,Ethyl Acetate
240,2,0.3545,0.13,0.3404,1.1855,0.4896,1.3939,659.33,470.87,25.7,45.68,Acetic Acid
241,2,0.373,0.1692,0.3265,1.6568,0.4441,1.0385,1480.85,443.48,25.03,45.89,Acetone
